year,month,month_name,south,west,midwest,northeast
2012.0,8.0,August,30.9,16.5,11.3,6.1
2012.0,9.0,September,28.7,13.0,10.3,6.6
2012.0,10.0,October,36.6,13.5,11.3,6.3
2012.0,11.0,November,28.7,14.0,8.9,6.2
2012.0,12.0,December,33.7,15.3,10.4,5.4
2013.0,1.0,January,24.8,12.5,5.5,4.6
2013.0,2.0,February,26.4,12.2,7.1,4.1
2013.0,3.0,March,29.2,18.2,7.9,6.5
2013.0,4.0,April,27.9,12.0,10.0,4.7
2013.0,5.0,May,31.3,12.9,9.3,4.8
2013.0,6.0,June,34.1,16.1,9.4,6.4
2013.0,7.0,July,32.3,16.5,10.4,7.8
2013.0,8.0,August,38.2,15.1,11.4,6.9
2013.0,9.0,September,35.8,14.3,12.3,7.3
2013.0,10.0,October,38.9,15.7,12.6,6.4
2013.0,11.0,November,33.5,17.5,12.5,7.3
2013.0,12.0,December,37.0,16.1,12.2,8.5
2014.0,1.0,January,29.2,12.6,8.2,6.2
2014.0,2.0,February,31.8,13.5,10.2,4.1
2014.0,3.0,March,37.7,15.8,9.8,4.4
2014.0,4.0,April,34.2,15.0,9.2,5.5
2014.0,5.0,May,33.7,17.5,12.2,10.0
2014.0,6.0,June,36.2,15.2,13.1,7.0
2014.0,7.0,July,35.8,15.9,12.9,5.9
